"id","firstname","lastname","email","emailstatus","token","language","validfrom","validuntil","invited","reminded","remindercount","completed","usesleft","attribute_1","attribute_2","attribute_3"
1,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",1,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
2,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",2,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
3,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",3,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
4,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",4,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
5,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",5,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
6,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",6,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
7,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",7,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
8,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",8,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
9,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",9,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
10,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",10,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
11,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",11,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
12,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",12,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
13,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",13,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
14,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",14,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
15,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",15,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
16,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",16,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
17,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",17,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
18,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",18,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
19,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",19,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
20,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",20,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
21,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",21,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
22,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",22,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
23,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",23,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
24,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",24,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
25,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",25,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
26,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",26,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
27,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",27,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
28,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",28,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
29,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",29,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
30,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",30,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
31,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",31,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
32,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",32,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
